,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia
243,209000.0,1,10.0,2,miejskie,plastikowe,9,33.0,apartamentowiec,2019.0,pierwotny,do_wykonczenia
244,699000.0,1,2.0,4,miejskie,plastikowe,1,105.0,apartamentowiec,,wtorny,do_zamieszkania
245,375000.0,1,18.0,3,,plastikowe,&gt;_10,72.0,,,wtorny,
246,145000.0,1,10.0,1,,plastikowe,10,25.5,blok,1980.0,wtorny,
247,179455.52,1,,1,miejskie,plastikowe,parter,20.76,kamienica,2018.0,pierwotny,
248,239000.0,1,10.0,2,miejskie,plastikowe,9,48.0,blok,1985.0,wtorny,do_zamieszkania
249,149000.0,1,2.0,2,,plastikowe,1,41.0,kamienica,,wtorny,do_remontu
250,499999.0,1,5.0,4,gazowe,plastikowe,3,110.0,kamienica,,wtorny,do_zamieszkania
251,213943.23,1,,1,miejskie,plastikowe,2,24.75,kamienica,2018.0,pierwotny,
252,306657.0,1,4.0,2,miejskie,plastikowe,1,52.42,blok,2019.0,pierwotny,do_wykonczenia
253,799020.0,1,4.0,4,miejskie,plastikowe,4,115.8,apartamentowiec,2019.0,pierwotny,do_remontu
254,356499.0,1,4.0,3,miejskie,plastikowe,1,60.94,blok,2019.0,pierwotny,do_wykonczenia
255,395000.0,1,10.0,2,miejskie,plastikowe,,50.0,apartamentowiec,,wtorny,do_zamieszkania
256,213590.0,1,4.0,1,miejskie,plastikowe,1,34.45,blok,2019.0,pierwotny,do_wykonczenia
257,159900.0,1,3.0,2,elektryczne,drewniane,3,54.9,kamienica,1910.0,wtorny,do_zamieszkania
258,356674.0,1,4.0,2,miejskie,plastikowe,1,60.97,blok,2019.0,pierwotny,do_wykonczenia
259,518944.0,1,4.0,3,miejskie,plastikowe,4,75.56,apartamentowiec,2020.0,pierwotny,do_wykonczenia
260,395000.0,1,10.0,2,miejskie,plastikowe,4,50.88,blok,2010.0,wtorny,do_zamieszkania
261,317830.0,1,4.0,2,miejskie,plastikowe,1,54.33,blok,2019.0,pierwotny,do_wykonczenia
262,664884.0,1,4.0,4,miejskie,plastikowe,4,96.36,apartamentowiec,2020.0,pierwotny,do_wykonczenia
263,207000.0,0,13.0,2,miejskie,,8,35.8,blok,1980.0,wtorny,
