,cena,cena_za_od,czynsz,dostepne_od,forma_wlasnosci,liczba_kondygnacji,liczba_pieter,liczba_pokoi,material_budynku,metraz_do,metraz_od,ogrzewanie,okna,pietro,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_inwestycji,stan_wykonczenia,typ_oferowanych_nieruchomosci,url
49,285000.0,,,,pelna_wlasnosc,,4,1,,,,miejskie,plastikowe,1,48.2,kamienica,,wtorny,,do_zamieszkania,,https://www.otodom.pl/oferta/industrialne-studio-w-samym-centrum-katowic-gotowe-ID3V09y.html#d749d73d2a
50,369000.0,,670.0,,,,12,3,,,,,plastikowe,&gt;_10,70.0,blok,,wtorny,,do_remontu,,https://www.otodom.pl/oferta/rozkladowe-m-4-bogucice-ul-wajdy-ID3SYDe.html#d749d73d2a
51,180000.0,,560.0,,pelna_wlasnosc,,10,2,,,,miejskie,plastikowe,9,49.0,blok,,wtorny,,,,https://www.otodom.pl/oferta/katowice-giszowiec-2-pokoje-atrakcyjna-okolica-ID3V22A.html#d749d73d2a
52,214000.0,,,,spoldzielcze_wl._z_kw,,,2,,,,,,3,39.0,,,wtorny,,,,https://www.otodom.pl/oferta/wysoki-standard-po-remoncie-ID3V1mE.html#d749d73d2a
53,550000.0,,,,spoldzielcze_wlasnosciowe,,16,4,,,,miejskie,,1,108.0,blok,,wtorny,,,,https://www.otodom.pl/oferta/4-pokojowe-mieszkanie-katowice-osiedle-tysiaclecia-ID3WZSv.html#d749d73d2a
54,492379.0,,,,pelna_wlasnosc,,2,4,pustak,,,,,2,77.54,blok,,pierwotny,,,,https://www.otodom.pl/oferta/wyjatkowy-apartament-z-duzym-tarasem-katowice-ID3Rc16.html#d749d73d2a
55,296100.0,,,,pelna_wlasnosc,,,3,,,,,,8,63.0,,,wtorny,,,,https://www.otodom.pl/oferta/doskonala-lokalizacja-ID3V3eE.html#d749d73d2a
56,368062.5,,,,pelna_wlasnosc,,2,3,pustak,,,,,2,58.89,blok,,pierwotny,,,,https://www.otodom.pl/oferta/okna-na-zachod-prywatna-loggia-apartament-58m2-ID3Rc1e.html#d749d73d2a
57,397122.0,,,,pelna_wlasnosc,,2,4,pustak,,,,,1,65.64,blok,,pierwotny,,,,https://www.otodom.pl/oferta/ustawne-mieszkanie-z-loggia-katowice-65m2-ID3Rc12.html#d749d73d2a
58,470000.0,,400.0,,pelna_wlasnosc,,2,5,cegla,,,elektryczne,plastikowe,2,160.0,kamienica,1930,wtorny,,do_remontu,,https://www.otodom.pl/oferta/5-pokoi-blisko-2-uczelni-w-katowicach-ID3Yyjy.html#7856e860dd
