,cena,forma_wlasnosci,liczba_pieter,liczba_pokoi,okna,powierzchnia,rodzaj_zabudowy,rok_budowy,rynek,stan_wykonczenia,cena_mkw_PLN
212,199000.0,1,1,2,1,43.0,2,3,2,3,4627.906976744186
213,326075.0,1,1,3,0,61.0,1,1,1,1,5345.491803278688
214,310000.0,1,1,3,1,60.57,2,2,2,2,5118.045236915965
215,560000.0,1,1,4,1,82.28,1,1,1,1,6806.028196402528
216,375260.0,1,1,3,0,71.8,1,1,1,1,5226.462395543175
217,285000.0,1,2,3,1,53.0,1,1,1,0,5377.358490566037
218,229952.0,1,2,2,0,35.93,1,1,1,1,6400.0
219,220480.0,1,1,1,0,34.45,2,1,1,1,6399.999999999999
220,223925.0,1,1,1,0,34.45,2,1,1,1,6499.999999999999
221,334274.0,1,1,2,0,54.46,2,1,1,1,6137.972824091076
222,350000.0,1,2,4,0,70.0,0,3,2,0,5000.0
223,213590.0,1,1,1,0,34.45,2,1,1,1,6199.999999999999
224,144001.0,1,1,1,0,31.0,1,1,1,1,4645.193548387097
225,396000.0,1,1,2,1,60.0,1,3,2,2,6600.0
226,259000.0,0,2,3,1,55.7,2,2,2,2,4649.910233393178
227,409563.0,1,1,3,0,65.01,2,1,1,1,6299.999999999999
228,293760.0,1,1,2,0,45.9,1,1,2,1,6400.0
229,315000.0,1,2,4,0,72.12,2,2,2,0,4367.720465890183
230,247000.0,1,1,2,0,34.02,2,3,2,1,7260.435038212815
231,159000.0,1,1,2,1,37.0,2,3,2,2,4297.2972972972975
232,396000.0,1,1,2,1,60.0,1,3,2,2,6600.0
233,295000.0,1,2,3,1,61.0,2,3,2,2,4836.065573770492
234,240918.0,1,1,2,0,38.99,2,1,1,0,6178.968966401641
235,293377.0,1,1,2,0,47.48,2,1,1,1,6178.959561920809
236,385000.0,1,3,3,1,60.0,2,3,2,2,6416.666666666667
237,550000.0,1,1,4,1,147.0,3,5,2,1,3741.496598639456
238,449000.0,1,1,3,1,95.52,3,3,2,2,4700.586264656617
239,355000.0,1,2,4,1,69.5,2,3,2,2,5107.913669064748
240,160000.0,1,2,1,1,22.0,2,3,2,2,7272.727272727273
241,209000.0,1,2,2,1,33.0,1,1,1,1,6333.333333333333
242,699000.0,1,1,4,1,105.0,1,3,2,2,6657.142857142857
243,375000.0,1,3,3,1,72.0,0,3,2,0,5208.333333333333
244,145000.0,1,2,1,1,25.5,2,2,2,0,5686.274509803921
245,179455.52,1,1,1,1,20.76,3,1,1,0,8644.292870905587
246,239000.0,1,2,2,1,48.0,2,2,2,2,4979.166666666667
247,149000.0,1,1,2,1,41.0,3,3,2,3,3634.1463414634145
248,499999.0,1,1,4,1,110.0,3,3,2,2,4545.445454545455
249,213943.23,1,1,1,1,24.75,3,1,1,0,8644.17090909091
250,306657.0,1,1,2,1,52.42,2,1,1,1,5850.0
251,799020.0,1,1,4,1,115.8,1,1,1,3,6900.0
252,356499.0,1,1,3,1,60.94,2,1,1,1,5850.0
253,395000.0,1,2,2,1,50.0,1,3,2,2,7900.0
254,213590.0,1,1,1,1,34.45,2,1,1,1,6199.999999999999
255,159900.0,1,1,2,2,54.9,3,5,2,2,2912.568306010929
256,356674.0,1,1,2,1,60.97,2,1,1,1,5849.99179924553
257,518944.0,1,1,3,1,75.56,1,1,1,1,6867.972472207517
258,395000.0,1,2,2,1,50.88,2,2,2,2,7763.364779874213
259,317830.0,1,1,2,1,54.33,2,1,1,1,5849.99079698141
260,664884.0,1,1,4,1,96.36,1,1,1,1,6900.0
261,207000.0,0,3,2,0,35.8,2,2,2,0,5782.1229050279335
262,369000.0,1,1,3,1,62.25,3,3,2,0,5927.710843373494
263,334274.0,1,1,2,1,54.46,1,1,1,1,6137.972824091076
264,245000.0,1,1,2,0,41.0,0,3,2,0,5975.609756097561
265,295000.0,1,1,3,0,49.0,0,3,2,0,6020.408163265306
266,750000.0,1,1,2,0,78.0,1,2,2,2,9615.384615384615
267,149000.0,1,1,2,2,54.6,0,5,2,3,2728.937728937729
268,649000.0,0,1,3,1,92.0,1,2,2,2,7054.347826086957
269,325000.0,1,1,2,1,47.7,1,1,1,1,6813.417190775681
270,246632.0,1,1,2,0,41.34,2,1,1,1,5965.940977261732
271,182465.0,1,1,1,0,29.53,2,1,1,1,6178.970538435489
272,251547.0,1,1,2,0,41.34,2,1,1,1,6084.833091436864
273,375000.0,1,3,3,0,72.0,2,3,2,0,5208.333333333333
274,396000.0,1,1,2,1,60.0,1,3,2,2,6600.0
275,520000.0,1,3,3,1,66.0,1,2,2,2,7878.787878787879
276,287500.0,1,1,2,0,46.38,2,1,1,1,6198.7925830099175
277,340000.0,1,1,3,1,73.0,1,3,2,2,4657.534246575343
278,411905.0,1,1,3,0,63.37,1,1,1,0,6500.0
279,271000.0,1,1,2,0,45.2,2,1,1,1,5995.575221238938
280,180000.0,1,1,1,1,26.0,1,1,1,1,6923.076923076923
281,299000.0,1,1,2,0,46.38,2,1,1,1,6446.744286330314
282,289224.0,1,1,2,0,51.19,1,1,1,1,5650.0097675327215
283,310700.0,1,1,2,0,51.0,1,1,1,1,6092.156862745098
284,200000.0,1,1,1,1,31.0,1,1,1,1,6451.612903225807
285,332000.0,1,1,4,1,55.0,1,1,1,1,6036.363636363636
286,352946.0,1,1,3,1,69.4,1,1,1,1,5085.677233429395
287,295000.0,1,3,3,1,54.4,2,2,2,2,5422.794117647059
288,236000.0,1,1,2,1,34.0,1,1,1,1,6941.176470588235
289,509040.0,1,1,4,0,90.9,1,1,1,1,5600.0
290,148000.0,1,1,2,1,45.0,2,3,2,2,3288.8888888888887
291,545000.0,1,1,3,1,77.0,1,3,2,2,7077.922077922078
292,147000.0,1,2,1,1,25.0,2,3,2,2,5880.0
293,219000.0,0,2,2,1,43.0,2,3,2,2,5093.023255813953
294,1113870.0,1,3,5,0,138.8,1,1,1,1,8024.999999999999
295,247356.0,1,1,2,0,40.81,2,1,1,1,6061.161480029405
296,665000.0,1,1,3,0,112.5,0,3,2,0,5911.111111111111
297,326000.0,1,1,3,0,61.0,2,1,1,1,5344.262295081967
298,387000.0,1,1,3,0,71.6,2,1,1,1,5405.027932960894
299,498106.0,1,1,4,0,92.0,2,1,1,1,5414.195652173913
300,109000.0,1,1,2,1,52.8,3,3,2,3,2064.3939393939395
301,538000.0,1,1,5,1,110.0,3,3,2,2,4890.909090909091
302,196980.0,1,1,1,1,32.83,3,3,2,3,6000.0
303,239000.0,1,1,2,1,40.0,2,3,2,2,5975.0
304,99000.0,1,1,2,0,52.8,3,3,2,3,1875.0
305,320000.0,1,1,4,0,86.0,0,3,2,0,3720.9302325581393
306,211000.0,1,2,2,1,33.0,1,1,2,1,6393.939393939394
307,219000.0,1,1,1,1,28.0,2,3,2,2,7821.428571428572
308,334061.0,1,1,3,0,55.79,2,1,1,0,5987.829360100376
309,573760.0,1,1,4,0,89.65,1,1,2,1,6400.0
310,246700.0,1,1,2,1,41.0,1,1,1,0,6017.073170731707
311,573760.0,1,1,4,0,89.65,0,1,2,0,6400.0
312,255000.0,0,1,3,2,58.0,2,3,2,2,4396.551724137931
313,185000.0,1,1,2,0,38.3,2,3,2,0,4830.287206266319
314,588570.0,1,1,3,0,85.3,1,1,1,0,6900.0
315,250000.0,1,1,3,1,62.0,2,3,2,2,4032.2580645161293
316,207420.0,1,1,1,1,34.57,3,3,2,3,6000.0
317,295000.0,1,1,3,1,49.0,2,3,2,0,6020.408163265306
318,299000.0,0,2,3,1,50.0,2,3,2,2,5980.0
319,470000.0,1,1,4,1,83.43,1,2,2,2,5633.465180390746
320,374000.0,1,2,4,2,69.52,2,3,2,0,5379.746835443038
321,252318.0,1,1,2,0,38.97,2,1,1,1,6474.672825250193
322,169216.0,1,1,1,0,27.42,2,1,1,1,6171.26185266229
323,419000.0,1,1,4,1,76.24,2,2,2,0,5495.802728226653
324,970000.0,1,1,5,0,136.5,0,1,1,0,7106.227106227107
325,299000.0,1,1,3,0,61.58,2,3,2,2,4855.472556024683
326,295000.0,1,1,3,1,45.5,2,3,2,0,6483.516483516483
327,285000.0,1,1,1,1,48.2,3,3,2,2,5912.863070539419
328,263000.0,1,1,2,1,41.0,3,3,2,2,6414.634146341464
329,475640.0,1,2,3,2,54.05,1,1,1,1,8800.0
330,349999.0,1,1,3,1,58.7,2,2,2,2,5962.504258943782
331,392000.0,1,1,4,1,85.0,3,1,1,1,4611.764705882353
332,109000.0,1,1,2,1,52.8,4,3,2,3,2064.3939393939395
333,390000.0,1,1,2,0,57.0,0,3,2,0,6842.105263157895
334,160000.0,1,1,2,1,37.0,2,3,2,3,4324.324324324324
335,421400.0,1,1,3,0,70.3,1,1,1,1,5994.3100995732575
336,699000.0,1,1,4,2,108.0,1,2,2,2,6472.222222222223
337,799000.0,1,1,4,0,100.36,1,2,2,2,7961.339178955759
338,149000.0,1,1,2,0,48.9,0,3,2,0,3047.034764826176
339,288108.0,1,2,2,0,38.16,1,1,1,1,7550.000000000001
